[2020-05-30 10:18:09] [info]  [ 3732] Apache Commons Daemon procrun (1.2.0.0 64-bit) started.
[2020-05-30 10:18:10] [info]  [ 3732] Running Service 'neo4j'...
[2020-05-30 10:18:10] [info]  [ 4984] Starting service...
[2020-05-30 10:18:13] [info]  [ 4984] Service started in 3271 milliseconds.
[2020-05-30 10:22:03] [info]  [ 4496] Apache Commons Daemon procrun (1.2.0.0 64-bit) started.
[2020-05-30 10:22:03] [info]  [ 4496] Stopping service 'neo4j'...
[2020-05-30 10:22:03] [info]  [ 8500] Stopping service...
[2020-05-30 10:22:15] [info]  [ 4496] Service 'neo4j' stopped.
[2020-05-30 10:22:15] [info]  [ 4496] Stop service finished.
[2020-05-30 10:22:15] [info]  [ 4496] Apache Commons Daemon procrun finished.
[2020-05-30 10:23:45] [info]  [ 2572] Apache Commons Daemon procrun (1.2.0.0 64-bit) started.
[2020-05-30 10:23:45] [info]  [ 2572] Starting service 'neo4j'...
[2020-05-30 10:23:45] [info]  [ 7596] Apache Commons Daemon procrun (1.2.0.0 64-bit) started.
[2020-05-30 10:23:45] [info]  [ 7596] Running Service 'neo4j'...
[2020-05-30 10:23:45] [info]  [12072] Starting service...
[2020-05-30 10:23:47] [info]  [12072] Service started in 1345 milliseconds.
[2020-05-30 10:23:48] [info]  [ 2572] Started service 'neo4j'.
[2020-05-30 10:23:48] [info]  [ 2572] Finished starting service 'neo4j', returning 1.
[2020-05-30 10:23:48] [info]  [ 2572] Apache Commons Daemon procrun finished.
[2020-05-31 09:34:04] [info]  [13852] Stopping service...
