,主体代码,主体名称,股东,董监高法,证券代码,证券产品,所属行业,主营业务,关联机构,对外投资
0,80381009.0,山东金茂纺织化工集团有限公司,许朋明,许朋明,136231.SH,16金茂01,材料,铝粉产业,西王集团,东营金茂铝业高科技有限公司
1,,,纪志强,宋丽娜,122482.SH,15金茂债,化工,氯碱化工产业,,东营君晟达贸易有限公司
2,,,李洪彬,徐敏,041560077.IB,15鲁金茂CP001,,纺织产业,,东营创源光伏有限公司
3,,,,高延林,125928.SH,15金茂01,,,,东营金茂进出口有限公司
4,,,,,041460101.IB,14鲁金茂CP001,,,,蓝色电子科技有限公司
5,,,,,031490091.IB,14鲁金茂PPN001,,,,济南本瑞贸易有限公司
6,,,,,041364044.IB,13鲁金茂CP002,,,,上海华投资产管理合伙企业(有限合伙)
7,,,,,041364037.IB,13鲁金茂CP001,,,,青岛世纪盈晟有限公司
8,,,,,d16071108.IB,16鲁金茂CP001,,,,
