,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
41,20180906,2018-09-06 13:59:00,“泰融1期”持仓公司债连环爆雷  净值不足0.24 中泰证券知情不报,投资时报,,
42,20180907,2018-09-07 14:38:40,新世纪评级关于关注山东金茂纺织化工集团有限公司关于2014年度第一期中期票据持有人会议决议答复的公告,上海清算所,,
43,20180911,2018-09-11 00:00:00,关于召开山东金茂纺织化工集团有限公司2015年公司债券2018年第二次债券持有人会议的通知,上海交易所,,
44,20180910,2018-09-10 00:00:00,山东金茂纺织化工集团有限公司2015年公司债券2018年第一次债券持有人会议决议公告,上海交易所,,
45,20180916,2018-09-16 19:00:00,评级骤降资金遭冻结 大海将流向何方？,世纪新能源网,,
46,20180920,2018-09-20 14:02:58,新世纪评级关于关注山东金茂纺织化工集团有限公司关于公开发行公司债券暂停固定收益平台交易的公告,上海清算所,山东金茂纺织化工集团有限公司、暂停固定收益平台交易,信用风险
47,20180919,2018-09-19 12:45:28,山东金茂纺织化工集团有限公司关于公开发行公司债券暂停固定收益平台交易的公告,上海交易所,山东金茂纺织化工集团有限公司、暂停固定收益平台交易,信用风险
48,20180922,2018-09-22 00:00:00,财通证券股份有限公司关于取消召开山东金茂纺织化工集团有限公司“15金茂债”2018年第二次持有人会议的通知,上海交易所,,
49,20180927,2018-09-27 07:32:14,债市雷连着响，违约刷新纪录,微信公众号,,
50,20180926,2018-09-26 07:03:08,金茂化工：只偿还指定投资者,财汇资讯,金茂化工、只偿还指定投资者,信用风险
51,20180926,2018-09-26 07:59:00,黑色星期二，债市五连杀,中国债券,,
52,20180926,2018-09-26 11:07:00,73家产业债主体评级下调 中游行业数量明显减少,中国经济导报,,
53,20180925,2018-09-25 22:49:00,债市日内五只现券违约创记录 风险暴雷还要延续几何,财联社,,
54,20180928,2018-09-28 17:10:00,【中证评级】评级跟踪-20180928,中证评级,,
55,20181108,2018-11-08 09:23:00,可怕的山东东营民营企业连环债务劫,雪球,,
56,20181128,2018-11-28 00:00:00,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,上海交易所,,
57,20181128,2018-11-28 00:00:00,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
58,20181129,2018-11-29 17:38:45,关于山东金茂纺织化工集团有限公司相关债券中证估值的说明（2018年11月29日）,中证指数有限公司,,
59,20181129,2018-11-29 17:56:00,今日大凶！违约的债券有点多！,债市观察,,
60,20181129,2018-11-29 08:03:00,山东金茂纺织化工集团“16金茂01”未按期兑付,云财经,山东金茂纺织化工集团、“16金茂01”、未按期兑付,信用风险
61,20180627,2018-06-27 19:50:32,"大公国际调低“山东金茂纺织化工集团有限公司2015年公司债券”的债项评级,从AA调低为A",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从AA调低为A",信用风险
62,20180921,2018-09-21 00:00:00,"大公国际调低“山东金茂纺织化工集团有限公司2015年公司债券”的债项评级,从AA调低为A",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从AA调低为A",信用风险
63,20180627,2018-06-27 19:50:32,"大公国际调低“山东金茂纺织化工集团有限公司公开发行2016年公司债券(第一期)”的债项评级,从AA调低为A",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从AA调低为A",信用风险
64,20180921,2018-09-21 00:00:00,大公国际将“山东金茂纺织化工集团有限公司”的长期债务评级的评级展望列为负面,大智慧财汇数据整理,“山东金茂纺织化工集团有限公司”、长期债务评级展望、列为负面,信用风险
65,20180921,2018-09-21 00:00:00,"大公国际调低“山东金茂纺织化工集团有限公司”的长期债务评级,从A调低为BB",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从A调低为BB",信用风险
66,20180627,2018-06-27 20:44:54,"大公国际调低“山东金茂纺织化工集团有限公司”的长期债务评级,从AA调低为A",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从AA调低为A",信用风险
67,20180921,2018-09-21 00:00:00,"大公国际调低“山东金茂纺织化工集团有限公司公开发行2016年公司债券(第一期)”的债项评级,从A调低为BB",大智慧财汇数据整理,"“山东金茂纺织化工集团有限公司、公司债券债项评级,从A调低为BB",信用风险
68,20181129,2018-11-29 19:42:25,中债识风 | 回天乏术，金茂纺织宽限期后仍未足额兑付,中债资信,金茂纺织、宽限期、未足额兑付,信用风险
69,20181129,2018-11-29 08:35:00,山东金茂纺织化工“15金茂债”未能于11月26日按期兑付,华尔街见闻,山东金茂纺织化工、“15金茂债”、未能按期兑付,信用风险
70,20181129,2018-11-29 20:10:34,中债将山东金茂纺织化工集团有限公司相关债券的中债市场隐含评级-债券债项评级由CC调整至C,中国债券信息网,中山东金茂纺织化工集团有限公司债券债项评级由CC调整至C,信用风险
71,20181129,2018-11-29 20:24:16,"大公国际调低“山东金茂纺织化工集团有限公司”的长期债务评级,从BB调低为C",大智慧财汇数据整理,“山东金茂纺织化工集团有限公司”、长期债务评级、从BB调低为C,信用风险
72,20181128,2018-11-28 16:03:00,担保绊倒“民企500强” 山东大海集团破产重组,中国经营网,,
73,20181128,2018-11-28 19:03:20,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
74,20181128,2018-11-28 18:52:41,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,上海交易所,,
75,20181129,2018-11-29 18:18:48,大公下调山东金茂纺织化工集团有限公司主体信用等级至C的公告,上海交易所,下调、山东金茂纺织化工集团有限公司、主体信用等级、C,信用风险
76,20181129,2018-11-29 20:24:34,"大公国际调低“山东金茂纺织化工集团有限公司2015年公司债券”的债项评级,从BB调低为C",大智慧财汇数据整理,,
77,20181129,2018-11-29 20:24:34,"大公国际调低“山东金茂纺织化工集团有限公司公开发行2016年公司债券(第一期)”的债项评级,从BB调低为C",大智慧财汇数据整理,,
78,20181130,2018-11-30 14:26:15,新世纪评级关于下调山东金茂纺织化工集团有限公司信用等级的公告,上海清算所,,
79,20181127,2018-11-27 10:30:00,山东一家中国500强民企申请破产，营收近800亿,陆家嘴扫地僧,,
80,20181126,2018-11-26 15:33:00,（2018）鲁05破申46号受理债务人直接提出的重整申请-民事裁定书,全国企业破产重整案件信息网,,
81,20181127,2018-11-27 15:37:00,山东民企第8强陨落：东营大海集团进入破产重整程序,百家号,,
82,20181130,2018-11-30 19:19:00,【中证再评级】下调金茂、大海、东辰、中融新大等中证主体级别-20181130,中证评级,,
83,20181203,2018-12-03 17:25:00,金茂纺织违约启示录：警惕民企互保引发的风险传递,华尔街见闻,,
84,20181130,2018-11-30 17:11:00,本周债券市场评级遭调整的主体及原因分析（第十二期）,债券在线,,
85,20181130,2018-11-30 16:32:32,山东金茂纺织化工集团有限公司关于公司及子公司重整及“15金茂债”“16金茂01”未能按期兑付的公告,上海交易所,山东金茂纺织化工集团有限公司、公司及子公司重整、“15金茂债”、“16金茂01”、未能按期兑付,信用风险
86,20181203,2018-12-03 15:57:00,警惕民企互保引发的风险传递丨金茂纺织违约点评,债市覃谈,金茂纺织、违约点评,信用风险
87,20181203,2018-12-03 16:06:00,国君固收点评金茂纺织违约：警惕民企互保引发的风险传递,财联社,金茂纺织违约,信用风险
88,20181203,2018-12-03 08:47:00,新世纪：山东金茂主体评级遭降至CCC 其10亿中票明年初兑付存不确定性,新浪财经,山东金茂、主体评级、遭降至CCC 、中票兑付存不确定性,信用风险
89,20181204,2018-12-04 10:11:58,关于山东金茂纺织化工集团有限公司破产重整的公告,中国货币网,山东金茂纺织化工集团有限公司、破产重整,经营风险
90,20181210,2018-12-10 07:33:00,互保互联融资是铁索连舟or火烧连营？山东民企过度负债样本,新金融传媒,,
91,20181206,2018-12-06 16:56:08,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
92,20181206,2018-12-06 01:33:00,金茂纺织主体评级由“CCC”调整为“C”14鲁金茂MTN001债项评级由“CCC”调整为“C”,新浪财经,,
93,20181206,2018-12-06 16:51:49,山东金茂纺织化工集团有限公司关于子公司重整的公告,上海交易所,山东金茂纺织化工集团有限公司、子公司重整,经营风险
94,20181207,2018-12-07 17:18:00,【中证再评级】下调洛娃科技、银亿股份、海航科技、华凌工贸等中证主体级别-20181207,中证评级,,
95,20181208,2018-12-08 04:35:00,19家银行遭遇连环破产重整“惨案”,中国经营报,,
96,20181207,2018-12-07 15:55:00,本周债市评级被调整的主体及原因简析（第十三期）,债券在线,,
97,20181205,2018-12-05 07:35:00,金茂集团信用等级生变,和讯网,,
98,20181206,2018-12-06 13:14:00,一周之内，山东两家纺织相关民营500强申请破产,农产品期货网,,
99,20181204,2018-12-04 16:05:00,政策发力下的民企债现状：资质分化加剧！,债券在线,,
100,20181205,2018-12-05 08:45:00,山东金茂进入破产重整程序主承销商称触发“14鲁金茂MTN001”违约条款,新浪财经,山东金茂、破产重整、触发“14鲁金茂MTN001”违约条款,经营风险、信用风险
101,20181204,2018-12-04 14:11:00,违约回顾丨 山东金茂中证评级跟踪历史,中证评级,,
102,20181205,2018-12-05 16:17:51,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,上海交易所,,
103,20181205,2018-12-05 14:14:00,【中证评级】违约统计—2018年11月违约数据再创新高,中证评级,,
104,20181205,2018-12-05 16:04:31,关于召开山东金茂纺织化工集团有限公司2015年公司债券2018年第二次债券持有人会议的通知,上海交易所,,
105,20181204,2018-12-04 17:30:04,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司2014年度第一期中期票据违约的公告,上海清算所,,
106,20181205,2018-12-05 17:38:27,新世纪评级关于下调山东金茂纺织化工集团有限公司信用等级的公告,中国货币网,,
107,20181205,2018-12-05 17:14:21,中山证券有限责任公司关于召开山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第三次债券持有人会议的通知,上海交易所,,
