,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
195,20180604,2018-06-04 10:34:23,新世纪评级将“山东金茂纺织化工集团有限公司”的长期债务评级列入评级观察(可能调低),大智慧财汇数据整理,,
196,20181130,2018-11-30 15:30:21,新世纪评级将“山东金茂纺织化工集团有限公司”的长期债务评级列入评级观察(可能调低),大智慧财汇数据整理,,
197,20181130,2018-11-30 15:32:57,"新世纪评级调低“山东金茂纺织化工集团有限公司”的长期债务评级,从BBB调低为CCC",大智慧财汇数据整理,,
198,20180621,2018-06-21 20:49:20,新世纪评级将“山东金茂纺织化工集团有限公司”的长期债务评级列入评级观察(可能调低),大智慧财汇数据整理,,
199,20180621,2018-06-21 20:50:36,"新世纪评级调低“山东金茂纺织化工集团有限公司”的长期债务评级,从AA-调低为BBB",大智慧财汇数据整理,,
200,20190524,2019-05-24 18:13:36,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年4月1日-2019年4月30日),中国货币网,,
201,20190529,2019-05-29 13:54:26,山东金茂纺织化工集团有限公司关于14鲁金茂MTN001有关事项进展情况的公告(2019年4月1日-2019年4月30日),中国货币网,,
202,20190530,2019-05-30 18:27:00,首例！超级大户1人投资5.5亿，爆雷后要开发布会与券商“约架”,债市观察,,
203,20190610,2019-06-10 00:02:00,山东名企齐成石化多笔借款逾期 对外担保24.29亿存代偿风险,金融界,,
204,20190605,2019-06-05 19:11:00,山东齐成石油化工24亿担保有代偿风险 债券全部停牌,新浪财经,,
205,20190605,2019-06-05 18:35:00,山东又一家石化企业岌岌可危，24亿担保有代偿风险，债券全部停牌,债市观察,,
206,20190531,2019-05-31 18:08:26,【中证再评级】调整腾邦集团、泰禾集团等6家发行人再评级结果-20190531,中证评级,,
207,20190612,2019-06-12 00:02:00,资金告急！企业拒收部分银行承兑汇票！涂料企业陷入“追讨大战”！,涂料采购网,,
208,20190611,2019-06-11 17:40:12,违约回顾| 齐成石化中证评级跟踪历史,中证评级,,
209,20190624,2019-06-24 18:01:43,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年5月1日-2019年5月31日),上海清算所,,
210,20190622,2019-06-22 06:00:00,负债223亿!胜通集团破产引争议 四大行、中泰证券等领衔债权人,证券市场红周刊,,
211,20190627,2019-06-27 11:08:41,山东金茂纺织化工集团有限公司关于14鲁金茂MTN001有关事项进展情况的公告(2019年5月1日-2019年5月31日),中国货币网,,
212,20190711,2019-07-11 00:00:00,山东一轮胎企业成为拟破产对象,中国橡胶轮胎网,,
213,20190708,2019-07-08 19:31:00,山东东营民企互保危机,中国经济周刊,,
214,20190719,2019-07-19 19:09:51,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年6月1日-2019年6月30日),上海清算所,,
215,20190719,2019-07-19 16:14:40,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”违约后续进展情况的公告(2019年6月1日-2019年6月30日),上海清算所,,
216,20190812,2019-08-12 15:55:10,山东金茂纺织化工集团有限公司关于重整进展的公告,巨潮资讯网,,
217,20190813,2019-08-13 17:07:37,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
218,20190809,2019-08-09 15:49:00,DM城投地图系列——山东篇,搞债的雷猴,,
219,20190813,2019-08-13 09:49:11,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,巨潮资讯网,,
220,20190822,2019-08-22 22:36:00,浦发银行：将密切跟进山东金茂破产重整后续进展,百家号,,
221,20190828,2019-08-28 17:38:00,五百强民企落幕剧,债券圈,,
222,20190823,2019-08-23 16:50:00,【九州固收】信用关注周报（2019.08.19-2019.08.23）,九州固收,,
223,20190823,2019-08-23 07:58:00,2019全国民营企业500强名单发布 华为四连冠 61家鲁企上榜,大众网—山东,,
224,20190823,2019-08-23 11:19:56,山东金茂纺织化工集团关于“14鲁金茂MTN001”违约后续进展情况的公告(2019年7月1日－2019年7月31日),上海清算所,,
225,20190827,2019-08-27 09:57:18,关于山东金茂纺织化工集团有限公司2019年第二季度财务信息无法按时披露的公告,中国货币网,,
226,20190822,2019-08-22 17:59:00,主承销商关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年7月1日-2019年7月31日),上海清算所,,
227,20190823,2019-08-23 08:30:00,2019年民企500强之山东榜单：谁的失落？谁在晋级？,新浪山东,,
228,20181126,2018-11-26 00:00:00,（2018）鲁05破29号,全国企业破产重整案件信息网,,
229,20190923,2019-09-23 18:01:48,山东金茂纺织化工集团有限公司关于14鲁金茂MTN001有关事项进展情况的公告(2019年8月1日-2019年8月31日),上海清算所,,
230,20190923,2019-09-23 18:00:46,主承销商关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年8月1日-2019年8月31日),上海清算所,,
231,20181125,2018-11-25 00:00:00,（2018）鲁05破申45号,全国企业破产重整案件信息网,,
232,20191018,2019-10-18 17:26:35,主承销商关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年9月1日-2019年9月30日),上海清算所,,
233,20191018,2019-10-18 17:01:52,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”违约后续进展情况的公司(2019年9月1日-2019年9月30日),上海清算所,,
234,20191021,2019-10-21 17:01:00,【专题研究】丨 起底违约“朋友圈”,联合见智,,
235,20191020,2019-10-20 23:19:00,【每周信用观察】穆迪下调新城展望至负面，金鸿控股将短时期还清债务,反做空信息中心,,
236,20191104,2019-11-04 18:15:00,西王违约殃及邹平多只债券，遥想山东民企互保当年......,雷猴的小号,,
237,20191030,2019-10-30 14:36:25,关于山东金茂纺织化工集团有限公司2019年第三季度财务信息无法按时披露的公告,上海清算所,,
238,20191119,2019-11-19 00:00:00,（2018）鲁05破53号后29家与前28家合并重整-裁定书,全国企业破产重整案件信息网,,
239,20191119,2019-11-19 00:00:00,（2018）鲁05破31号后29家与前28家合并重整-裁定书,全国企业破产重整案件信息网,,
240,20191119,2019-11-19 00:00:00,（2018）鲁05破47号28家合并重整-裁定书,全国企业破产重整案件信息网,,
241,20191119,2019-11-19 00:00:00,（2018）鲁05破50号57家合并-裁定书,全国企业破产重整案件信息网,,
242,20191119,2019-11-19 00:00:00,（2019）鲁05破18号空白模板-裁定书,全国企业破产重整案件信息网,,
243,20191120,2019-11-20 00:00:00,（2018）鲁05破43号28家合并-裁定书,全国企业破产重整案件信息网,,
244,20191120,2019-11-20 00:00:00,（2018）鲁05破45号28家合并-裁定书,全国企业破产重整案件信息网,,
245,20191120,2019-11-20 00:00:00,（2018）鲁05破30号57家合并-裁定书,全国企业破产重整案件信息网,,
246,20191120,2019-11-20 00:00:00,（2018）鲁05破39号28家合并-裁定书,全国企业破产重整案件信息网,,
247,20191118,2019-11-18 17:44:00,关于对山东金茂纺织化工集团有限公司及徐朋明采取出具警示函措施的决定,证监会,,
248,20191119,2019-11-19 00:00:00,（2018）鲁05破46号28家合并-裁定书,全国企业破产重整案件信息网,,
249,20191119,2019-11-19 00:00:00,（2018）鲁05破28号空白模板-裁定书,全国企业破产重整案件信息网,,
250,20191119,2019-11-19 00:00:00,（2018）鲁05破29号后29家与前28家合并重整-裁定书,全国企业破产重整案件信息网,,
251,20191119,2019-11-19 00:00:00,（2018）鲁05破33号28家合并重整-裁定书,全国企业破产重整案件信息网,,
252,20191119,2019-11-19 19:54:21,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
253,20191120,2019-11-20 17:43:00,山东金茂纺织及董事长吃警示函 年报未完整披露关联方关系,中国网财经,,
254,20191120,2019-11-20 19:25:00,“中国上市第一村”陷互保困局，老大债券刚“暴雷”，老二评级又遭预警,债市观察,,
255,20191119,2019-11-19 00:00:00,（2019）鲁05破22号57家合并-裁定书,全国企业破产重整案件信息网,,
256,20191120,2019-11-20 00:00:00,（2019）鲁05破16号57家合并-裁定书,全国企业破产重整案件信息网,,
257,20191120,2019-11-20 00:00:00,（2019）鲁05破17号57家合并-裁定书,全国企业破产重整案件信息网,,
258,20191120,2019-11-20 00:00:00,（2019）鲁05破19号57家合并-裁定书,全国企业破产重整案件信息网,,
259,20191120,2019-11-20 00:00:00,（2018）鲁05破44号28家合并-裁定书,全国企业破产重整案件信息网,,
260,20191120,2019-11-20 00:00:00,（2018）鲁05破52号57家合并-裁定书,全国企业破产重整案件信息网,,
261,20191120,2019-11-20 00:00:00,（2018）鲁05破48号57家合并-裁定书,全国企业破产重整案件信息网,,
262,20191120,2019-11-20 00:00:00,（2018）鲁05破52号28家合并-裁定书,全国企业破产重整案件信息网,,
263,20191120,2019-11-20 00:00:00,（2018）鲁05破42号28家合并-裁定书,全国企业破产重整案件信息网,,
264,20191120,2019-11-20 00:00:00,（2018）鲁05破45号57家合并-裁定书,全国企业破产重整案件信息网,,
265,20191120,2019-11-20 00:00:00,（2018）鲁05破49号28家合并-裁定书,全国企业破产重整案件信息网,,
266,20191119,2019-11-19 00:00:00,（2019）鲁05破21号后29家与前28家合并重整-裁定书,全国企业破产重整案件信息网,,
267,20191119,2019-11-19 00:00:00,（2018）鲁05破29号二十八家合并重整-裁定书,全国企业破产重整案件信息网,,
268,20191120,2019-11-20 00:00:00,（2018）鲁05破48号28家合并-裁定书,全国企业破产重整案件信息网,,
269,20191120,2019-11-20 00:00:00,（2018）鲁05破51号28家合并-裁定书,全国企业破产重整案件信息网,,
270,20191120,2019-11-20 00:00:00,（2019）鲁05破11号57家合并-裁定书,全国企业破产重整案件信息网,,
271,20191120,2019-11-20 00:00:00,（2018）鲁05破49号57家合并-裁定书,全国企业破产重整案件信息网,,
272,20191120,2019-11-20 00:00:00,（2019）鲁05破14号57家合并-裁定书,全国企业破产重整案件信息网,,
273,20191120,2019-11-20 00:00:00,（2018）鲁05破44号57家合并-裁定书,全国企业破产重整案件信息网,,
274,20191120,2019-11-20 00:00:00,（2018）鲁05破43号57家合并-裁定书,全国企业破产重整案件信息网,,
275,20191120,2019-11-20 20:18:00,“中国上市第一村”陷互保困局，老大债券刚违约，老二又遭预警,债市观察,,
276,20191120,2019-11-20 00:00:00,（2018）鲁05破38号57家合并-裁定书,全国企业破产重整案件信息网,,
277,20191120,2019-11-20 00:00:00,（2019）鲁05破1号57家合并-裁定书,全国企业破产重整案件信息网,,
278,20191119,2019-11-19 00:00:00,（2018）鲁05破50号28家合并-裁定书,全国企业破产重整案件信息网,,
279,20191120,2019-11-20 00:00:00,（2019）鲁05破20号57家合并-裁定书,全国企业破产重整案件信息网,,
280,20191120,2019-11-20 00:00:00,（2019）鲁05破12号57家合并-裁定书,全国企业破产重整案件信息网,,
281,20191120,2019-11-20 00:00:00,（2019）鲁05破15号57家合并-裁定书,全国企业破产重整案件信息网,,
282,20191120,2019-11-20 00:00:00,（2018）鲁05破36号28家合并-裁定书,全国企业破产重整案件信息网,,
283,20191120,2019-11-20 00:00:00,（2019）鲁05破10号57家合并-裁定书,全国企业破产重整案件信息网,,
284,20191120,2019-11-20 00:00:00,（2019）鲁05破3号57家合并-裁定书,全国企业破产重整案件信息网,,
285,20191118,2019-11-18 14:27:06,山东金茂纺织化工集团有限公司关于破产重整进展的公告,中国货币网,,
286,20191119,2019-11-19 00:00:00,山东金茂纺织化工集团有限公司关于破产重整进展的公告,上海交易所,,
287,20191120,2019-11-20 00:00:00,（2018）鲁05破37号57家合并-裁定书,全国企业破产重整案件信息网,,
288,20191120,2019-11-20 00:00:00,（2018）鲁05破41号28家合并-裁定书,全国企业破产重整案件信息网,,
289,20191120,2019-11-20 00:00:00,（2019）鲁05破7号57家合并-裁定书,全国企业破产重整案件信息网,,
290,20191120,2019-11-20 00:00:00,（2019）鲁05破4号57家合并-裁定书,全国企业破产重整案件信息网,,
291,20191120,2019-11-20 00:00:00,（2018）鲁05破40号57家合并-裁定书,全国企业破产重整案件信息网,,
292,20191106,2019-11-06 00:00:00,(2019-11-06)关于对山东金茂纺织化工集团有限公司及徐朋明采取出具警示函措施的决定(证监局[2019]58号),中国证券监督管理委员会,,
293,20191120,2019-11-20 00:00:00,（2019）鲁05破13号57家合并-裁定书,全国企业破产重整案件信息网,,
294,20191120,2019-11-20 00:00:00,（2018）鲁05破41号57家合并-裁定书,全国企业破产重整案件信息网,,
295,20191120,2019-11-20 00:00:00,（2018）鲁05破42号57家合并-裁定书,全国企业破产重整案件信息网,,
296,20191120,2019-11-20 00:00:00,（2018）鲁05破51号57家合并-裁定书,全国企业破产重整案件信息网,,
297,20191120,2019-11-20 00:00:00,（2018）鲁05破34号57家合并-裁定书,全国企业破产重整案件信息网,,
298,20191120,2019-11-20 00:00:00,（2018）鲁05破40号28家合并-裁定书,全国企业破产重整案件信息网,,
299,20191120,2019-11-20 00:00:00,（2018）鲁05破36号57家合并-裁定书,全国企业破产重整案件信息网,,
300,20191120,2019-11-20 00:00:00,（2018）鲁05破39号57家合并-裁定书,全国企业破产重整案件信息网,,
301,20191120,2019-11-20 00:00:00,（2019）鲁05破6号57家合并-裁定书,全国企业破产重整案件信息网,,
302,20191120,2019-11-20 00:00:00,（2018）鲁05破37号28家合并-裁定书,全国企业破产重整案件信息网,,
303,20191120,2019-11-20 00:00:00,（2018）鲁05破38号28家合并-裁定书,全国企业破产重整案件信息网,,
304,20191127,2019-11-27 17:49:27,山东金茂纺织化工集团有限公司关于14鲁金茂MTN001有关事项进展情况的公告(2019年10月1日-2019年10月31日),上海清算所,,
305,20191127,2019-11-27 17:49:59,主承销商关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年10月1日-2019年10月31日),上海清算所,,
306,20191128,2019-11-28 23:33:00,落榜的山东富豪，抛弃他们的不是资本，而是这个时代,反做空信息中心,,
307,20191122,2019-11-22 00:01:00,暴雷！山东化工巨头美元债暴跌20%！,涂料采购网,,
308,20191129,2019-11-29 14:19:55,山东金茂纺织化工集团有限公司关于破产重整进展的公告,上海清算所,,
309,20191125,2019-11-25 10:57:00,专题研究 | 关于破产重整，你应该知道的,中证鹏元评级,,
310,20191128,2019-11-28 21:36:00,这两年，山东民企经历了怎样的打击？,债券圈,,
311,20191204,2019-12-04 07:16:00,“东营首富”30年创业毁于一旦，山东“500强企业”公布重整进展,小债看市,,
312,20191127,2019-11-27 14:55:00,公司债券违约-强制展期、场外支付简析,债市文摘,,
313,20191217,2019-12-17 08:03:00,200亿负债压顶！“山东大型民企”评级被下调，“东营首富”风光不再,大固收,,
314,20191210,2019-12-10 00:00:00,山东化企深陷资金困局,中化新网,,
315,20191210,2019-12-10 15:37:32,山东金茂纺织化工集团有限公司关于破产重整进展的公告,中国货币网,,
316,20191216,2019-12-16 17:55:39,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”违约后续进展情况的公告(2019年11月1日-2019年11月30日),上海清算所,,
317,20191211,2019-12-11 00:00:00,（2018）鲁05破28号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
318,20191217,2019-12-17 16:06:00,红土日报—2019年12月17日,红土资产,,
319,20191217,2019-12-17 09:14:31,主承销商关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年11月1日-2019年11月30日),上海清算所,,
320,20191212,2019-12-12 22:44:00,一天5暴雷！“天津国企”美元债重组违约，2019年债券违约大爆发,小债看市,,
321,20191230,2019-12-30 00:00:00,（2019）鲁05破14号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
322,20191230,2019-12-30 00:00:00,（2018）鲁05破33号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
323,20191230,2019-12-30 00:00:00,（2019）鲁05破12号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
324,20191230,2019-12-30 00:00:00,（2019）鲁05破11号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
325,20191230,2019-12-30 00:00:00,（2019）鲁05破20号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
326,20191230,2019-12-30 00:00:00,（2018）鲁05破44号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
327,20191228,2019-12-28 00:00:00,（2018）鲁05破37号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
328,20191230,2019-12-30 00:00:00,（2018）鲁05破49号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
329,20191230,2019-12-30 00:00:00,（2018）鲁05破34号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
330,20191230,2019-12-30 00:00:00,（2019）鲁05破16号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
331,20191227,2019-12-27 00:00:00,（2019）鲁05破9号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
332,20191223,2019-12-23 00:00:00,（2019）鲁05破23号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
333,20191227,2019-12-27 00:00:00,（2019）鲁05破7号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
334,20191230,2019-12-30 00:00:00,（2019）鲁05破8号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
335,20191230,2019-12-30 00:00:00,（2018）鲁05破43号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
336,20191230,2019-12-30 00:00:00,（2019）鲁05破26号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
337,20191230,2019-12-30 00:00:00,（2019）鲁05破19号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
338,20191228,2019-12-28 00:00:00,（2018）鲁05破39号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
339,20191223,2019-12-23 00:00:00,（2018）鲁05破32号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
340,20191230,2019-12-30 00:00:00,（2018）鲁05破51号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
341,20191230,2019-12-30 00:00:00,（2018）鲁05破48号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
342,20191223,2019-12-23 00:00:00,（2018）鲁05破31号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
343,20191230,2019-12-30 00:00:00,（2018）鲁05破52号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
344,20191230,2019-12-30 00:00:00,（2018）鲁05破30号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
345,20191230,2019-12-30 00:00:00,（2019）鲁05破1号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
346,20191230,2019-12-30 00:00:00,（2019）鲁05破10号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
347,20191230,2019-12-30 00:00:00,（2019）鲁05破17号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
348,20191230,2019-12-30 00:00:00,（2018）鲁05破45号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
349,20191230,2019-12-30 00:00:00,（2018）鲁05破40号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
350,20191230,2019-12-30 00:00:00,（2018）鲁05破36号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
351,20191227,2019-12-27 00:00:00,（2018）鲁05破55号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
352,20191227,2019-12-27 00:00:00,（2018）鲁05破46号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
353,20191223,2019-12-23 00:00:00,（2018）鲁05破53号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
354,20191227,2019-12-27 00:00:00,（2019）鲁05破2号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
355,20191230,2019-12-30 00:00:00,（2018）鲁05破38号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
356,20191227,2019-12-27 00:00:00,（2019）鲁05破6号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
357,20191227,2019-12-27 00:00:00,（2019）鲁05破5号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
358,20191227,2019-12-27 00:00:00,（2018）鲁05破50号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
359,20191223,2019-12-23 00:00:00,（2019）鲁05破24号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
360,20191230,2019-12-30 00:00:00,（2019）鲁05破13号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
361,20191230,2019-12-30 00:00:00,（2019）鲁05破15号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
362,20191230,2019-12-30 00:00:00,（2019）鲁05破4号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
363,20191227,2019-12-27 00:00:00,（2018）鲁05破54号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
364,20191223,2019-12-23 00:00:00,（2018）鲁05破47号批准重整计划-民事裁定书,全国企业破产重整案件信息网,,
365,20200113,2020-01-13 12:46:00,山东民企疯狂爆雷，数十家500强企业纷纷倒闭，竟都是互保惹的祸,百家号,,
366,20200108,2020-01-08 20:16:00,公司监管处罚，项目折戟沉沙，四名保代业务被叫停,券业行家,,
367,20200113,2020-01-13 08:49:00,劲爆！山东省十家大型化企破产！重组案细节曝光！,惠创供应链,,
368,20200109,2020-01-09 00:00:00,中国农业银行股份有限公司东营分行与山东省金融资产管理股份有限公司债权转让通知暨债务催收联合公告,大众日报,,
